Number,Short description,Change Environment,Requested by,Assigned to,Assignment group,Service,State,Risk score,Priority,Urgency,Impact,Created,Actual start,Closed,Day,Actual end
CR-119,Database schema corruption: Unable to read or query data tables.,Hardware,Jan,John Wick,Avengers II,Service C,Closed,High,Medium,Medium,Low,02/01/2025 04:56:15,02/01/2025 12:51:23,03/01/2025 11:06:02,Thursday,03/01/2025 11:06:02
CR-120,DNS attack detected: Unusual query patterns observed.,Complaint,Captain America,John Wick,Matrix,Service A,New,Medium,Medium,High,Medium,02/01/2025 00:30:14,,,Thursday,
CR-121,Failed packet inspection: Firewall rules misconfigured.,Network,Michal,Peter,Matrix,Service C,Closed,High,Medium,High,Medium,02/01/2025 04:27:09,02/01/2025 12:44:37,02/01/2025 15:24:46,Thursday,02/01/2025 15:24:46
CR-122,Unauthorized access attempt detected: IP flagged as suspicious.,Data,Hulk,Martin,Avengers II,Service C,Closed,Medium,High,Medium,Low,02/01/2025 21:45:28,03/01/2025 05:40:44,04/01/2025 22:59:46,Thursday,04/01/2025 22:59:46
CR-123,Failed encryption process: Unable to secure sensitive data.,Hardware,Iron Man,Martin,Matrix,Service B,Closed,Low,High,High,Low,02/01/2025 14:37:31,02/01/2025 23:16:59,03/01/2025 21:25:01,Thursday,03/01/2025 21:25:01
CR-124,Unscheduled software change: Application version rolled back.,Network,Martin,Black Panther,Matrix,Service A,Closed,Low,High,High,Medium,02/01/2025 05:28:27,02/01/2025 08:44:25,02/01/2025 23:44:02,Thursday,02/01/2025 23:44:02
CR-125,Performance report: Sluggish response times on application.,Software,Jan,Jan,Avengers II,Service A,Closed,Low,High,High,High,02/01/2025 14:56:32,02/01/2025 22:58:55,04/01/2025 13:43:24,Thursday,04/01/2025 13:43:24
CR-126,System configuration error: Permissions incorrectly set.,Complaint,Hulk,Jan,Avengers,Service C,Closed,Medium,High,Medium,Medium,02/01/2025 09:21:01,02/01/2025 13:19:15,03/01/2025 04:50:46,Thursday,03/01/2025 04:50:46
CR-127,Ransomware attack detected: Encrypted files observed on endpoint.,Data,Thor,Thor,Avengers,Service B,On Hold,Low,High,Low,Low,02/01/2025 22:24:27,,,Thursday,
CR-128,SQL injection attempt: Unauthorized queries flagged.,Facilities,Captain America,Thor,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,02/01/2025 12:01:06,02/01/2025 16:39:53,03/01/2025 20:00:33,Thursday,03/01/2025 20:00:33
CR-129,Failed packet inspection: Firewall rules misconfigured.,Software,Captain America,Martin,Matrix,Service C,Closed,Low,Low,High,Low,02/01/2025 06:04:14,02/01/2025 14:03:10,04/01/2025 06:02:14,Thursday,04/01/2025 06:02:14
CR-130,System configuration error: Permissions incorrectly set.,Access,Peter,John Wick,Matrix,Service A,Closed,High,Medium,High,Medium,02/01/2025 18:41:21,02/01/2025 23:30:29,04/01/2025 15:14:47,Thursday,04/01/2025 15:14:47
CR-131,Expired certificates detected: TLS handshake improper.,Facilities,Martin,Hulk,Matrix,Service C,Closed,High,High,Medium,Low,02/01/2025 05:14:21,02/01/2025 07:34:05,02/01/2025 11:47:17,Thursday,02/01/2025 11:47:17
CR-132,Web application timeout: Performance degradation observed.,Hardware,Black Panther,Martin,Matrix,Service B,In Progress,Low,Low,High,Medium,02/01/2025 21:46:44,03/01/2025 00:18:17,,Thursday,
CR-133,DDoS attack detected: High traffic spotted on critical service.,Facilities,Black Panther,Michal,Avengers II,Service B,Closed,Low,High,High,Medium,02/01/2025 11:02:00,02/01/2025 16:23:05,03/01/2025 03:25:00,Thursday,03/01/2025 03:25:00
CR-134,Network scanning tool triggered security alert.,Network,Michal,Michal,Avengers,Service C,New,High,Medium,Medium,Medium,02/01/2025 13:39:20,,,Thursday,
CR-135,Unauthorized device connected: MAC address not whitelisted.,Network,Peter,Thor,Matrix,Service B,New,Low,Medium,High,Medium,02/01/2025 18:36:31,,,Thursday,
CR-136,Suspicious activity detected on account: User A.,Complaint,John Wick,Jan,Avengers,Service A,Closed,High,Low,Low,Low,02/01/2025 04:27:40,02/01/2025 09:23:23,04/01/2025 00:56:14,Thursday,04/01/2025 00:56:14
CR-137,Cloud instance misconfiguration: Public access enabled.,Network,Iron Man,Hulk,Matrix,Service A,Closed,High,Low,High,Medium,02/01/2025 13:09:03,02/01/2025 19:12:23,03/01/2025 20:47:13,Thursday,03/01/2025 20:47:13
CR-138,Dark web monitoring alert: Credentials detected for sale online.,Access,Black Panther,Jan,Avengers,Service A,In Progress,Medium,Medium,Medium,Low,02/01/2025 13:50:49,02/01/2025 17:35:26,,Thursday,
CR-139,Social engineering attempt flagged: Fake support request identified.,Facilities,Martin,Michal,Avengers,Service B,Closed,High,Medium,High,Medium,02/01/2025 09:33:29,02/01/2025 17:33:28,04/01/2025 08:25:30,Thursday,04/01/2025 08:25:30
CR-140,Suspicious activity detected on account: User A.,Network,Martin,Black Panther,Avengers,Service C,Closed,Medium,Medium,High,High,02/01/2025 00:30:26,02/01/2025 06:51:12,02/01/2025 22:39:02,Thursday,02/01/2025 22:39:02
CR-141,Firewall breach: Unauthorized access through open port.,Facilities,Thor,Black Panther,Matrix,Service C,New,Medium,Medium,Medium,Medium,02/01/2025 16:00:29,,,Thursday,
CR-142,SQL injection attempt: Unauthorized queries flagged.,Complaint,Thor,John Wick,Matrix,Service B,Closed,High,Medium,High,Medium,02/01/2025 07:27:06,02/01/2025 13:40:00,04/01/2025 03:54:46,Thursday,04/01/2025 03:54:46
CR-143,Network issue: Unable to connect to external API.,Failure,Michal,Captain America,Avengers,Service A,In Progress,Low,High,Low,High,02/01/2025 18:08:31,02/01/2025 22:18:51,,Thursday,
CR-144,Keylogger activity detected on user's workstation.,Data,Michal,Peter,Avengers,Service C,On Hold,Low,Medium,Low,Low,02/01/2025 01:46:18,,,Thursday,
CR-145,DDoS attack detected: High traffic spotted on critical service.,Complaint,Peter,Peter,Avengers,Service A,In Progress,Medium,Medium,Low,High,02/01/2025 06:51:42,02/01/2025 09:33:34,,Thursday,
CR-146,Phishing email flagged: User report received for fake login attempt.,Complaint,Black Panther,Martin,Matrix,Service C,Closed,High,Low,High,High,02/01/2025 11:18:22,02/01/2025 19:17:38,03/01/2025 17:21:57,Thursday,03/01/2025 17:21:57
CR-147,Failed cloud synchronization: Files cannot be uploaded.,Access,Martin,Hulk,Avengers II,Service A,Closed,Low,High,High,Low,02/01/2025 19:52:38,03/01/2025 00:52:39,04/01/2025 19:29:35,Thursday,04/01/2025 19:29:35
CR-148,User permission escalation detected on cloud platform.,Access,Hulk,Black Panther,Avengers II,Service C,Closed,High,Medium,Medium,Low,02/01/2025 20:48:01,03/01/2025 02:46:08,04/01/2025 01:51:18,Thursday,04/01/2025 01:51:18
CR-149,Malware alert: Suspicious executable flagged during scan.,Network,Peter,Black Panther,Avengers II,Service A,On Hold,Low,High,Medium,Low,02/01/2025 12:51:37,,,Thursday,
CR-150,Web server certificate expired: Issue flagged for priority teams.,Hardware,Jan,Jan,Avengers,Service A,Closed,Medium,Medium,Low,Low,02/01/2025 22:15:07,03/01/2025 04:57:26,03/01/2025 23:21:20,Thursday,03/01/2025 23:21:20
CR-151,Failed SSO login: Invalid credentials provided.,Software,Captain America,Captain America,Matrix,Service B,Closed,High,Low,High,High,02/01/2025 01:50:32,02/01/2025 07:38:07,03/01/2025 15:24:09,Thursday,03/01/2025 15:24:09
CR-152,File integrity check failed: Data corruption suspected.,Failure,John Wick,Jan,Matrix,Service C,Closed,Low,High,Medium,Low,02/01/2025 09:58:26,02/01/2025 14:52:47,03/01/2025 10:03:56,Thursday,03/01/2025 10:03:56
CR-153,Cloud misconfiguration alert: Public exposure of sensitive data.,Data,Black Panther,Black Panther,Matrix,Service B,Closed,Medium,Medium,Low,Low,02/01/2025 22:02:15,03/01/2025 05:57:34,04/01/2025 19:26:14,Thursday,04/01/2025 19:26:14
CR-154,Phishing email flagged: User report received for fake login attempt.,Software,Martin,Thor,Matrix,Service C,Closed,Low,High,Medium,Low,02/01/2025 22:19:08,03/01/2025 01:21:36,03/01/2025 12:02:25,Thursday,03/01/2025 12:02:25
CR-155,Unauthorized device connected: MAC address not whitelisted.,Access,Jan,Captain America,Avengers,Service A,Closed,Low,High,Low,Medium,02/01/2025 02:08:38,02/01/2025 06:25:47,03/01/2025 13:01:38,Thursday,03/01/2025 13:01:38
CR-156,Cross-site scripting (XSS) detected on customer portal.,Failure,Hulk,Peter,Matrix,Service C,Closed,High,Medium,Medium,High,02/01/2025 10:08:42,02/01/2025 19:00:08,03/01/2025 20:46:15,Thursday,03/01/2025 20:46:15
CR-157,SQL injection attempt: Unauthorized queries flagged.,Facilities,Peter,Michal,Avengers,Service B,Closed,High,Medium,Medium,High,02/01/2025 09:16:43,02/01/2025 11:26:59,03/01/2025 12:42:52,Thursday,03/01/2025 12:42:52
CR-158,Unauthorized device connected: MAC address not whitelisted.,Data,Hulk,Jan,Matrix,Service C,Closed,High,High,Low,High,02/01/2025 22:48:17,03/01/2025 01:25:06,03/01/2025 09:26:44,Thursday,03/01/2025 09:26:44
CR-159,ARP spoofing detected: Network traffic rerouted.,Network,Captain America,Captain America,Avengers,Service A,Closed,High,Medium,High,Low,02/01/2025 21:49:21,03/01/2025 06:48:30,03/01/2025 19:29:21,Thursday,03/01/2025 19:29:21
CR-160,Login attempt from blacklisted IP address blocked.,Hardware,Black Panther,Iron Man,Matrix,Service C,Closed,High,Medium,Medium,Low,02/01/2025 02:37:38,02/01/2025 09:23:57,03/01/2025 16:04:56,Thursday,03/01/2025 16:04:56
CR-161,Antivirus disabled on workstation: Protection compromised.,Access,Black Panther,Martin,Avengers II,Service B,Closed,Low,High,Medium,Medium,02/01/2025 01:37:41,02/01/2025 05:54:49,03/01/2025 00:34:31,Thursday,03/01/2025 00:34:31
CR-162,Unauthorized device connected: MAC address not whitelisted.,Hardware,Peter,Peter,Matrix,Service B,Closed,High,Low,Low,Medium,02/01/2025 02:29:12,02/01/2025 06:27:06,03/01/2025 13:58:47,Thursday,03/01/2025 13:58:47
CR-163,Database schema corruption: Unable to read or query data tables.,Software,Peter,Thor,Matrix,Service C,Closed,High,Low,High,High,02/01/2025 02:00:21,02/01/2025 04:57:41,03/01/2025 20:34:18,Thursday,03/01/2025 20:34:18
CR-164,Failed SSO login: Invalid credentials provided.,Failure,Black Panther,Martin,Avengers II,Service B,On Hold,High,High,Low,Low,02/01/2025 05:35:43,,,Thursday,
CR-165,Backup failure: Unable to restore files from recovery system.,Facilities,Hulk,Thor,Avengers II,Service A,Closed,Medium,Medium,Medium,Low,02/01/2025 13:53:40,02/01/2025 17:22:04,03/01/2025 14:59:04,Thursday,03/01/2025 14:59:04
CR-166,Backup failure: Unable to restore files from recovery system.,Network,Thor,Michal,Avengers,Service B,Closed,Low,Medium,High,Low,02/01/2025 20:39:57,03/01/2025 02:41:13,03/01/2025 09:50:22,Thursday,03/01/2025 09:50:22
CR-167,File integrity check failed: Data corruption suspected.,Access,Iron Man,Iron Man,Avengers II,Service A,Closed,High,Low,High,Low,02/01/2025 10:48:23,02/01/2025 19:10:33,04/01/2025 01:40:31,Thursday,04/01/2025 01:40:31
CR-168,SOC analyst triggered investigation for suspicious server activity.,Facilities,Captain America,Thor,Avengers II,Service B,Closed,High,Medium,High,Medium,02/01/2025 19:41:11,03/01/2025 03:35:03,03/01/2025 08:15:24,Thursday,03/01/2025 08:15:24
CR-169,Failed encryption process: Unable to secure sensitive data.,Failure,Michal,Michal,Avengers II,Service C,Closed,High,Medium,Low,High,02/01/2025 15:13:01,02/01/2025 23:31:20,03/01/2025 15:38:39,Thursday,03/01/2025 15:38:39
CR-170,Email flagged as phishing: Sensitive keywords detected.,Access,Thor,Michal,Avengers,Service A,Closed,Low,High,High,High,02/01/2025 00:49:14,02/01/2025 05:57:19,03/01/2025 04:42:47,Thursday,03/01/2025 04:42:47
CR-171,DNS attack detected: Unusual query patterns observed.,Failure,Martin,John Wick,Avengers II,Service B,Closed,Medium,Low,High,Low,02/01/2025 05:42:46,02/01/2025 14:36:17,03/01/2025 15:45:33,Thursday,03/01/2025 15:45:33
CR-172,Web application timeout: Performance degradation observed.,Complaint,Jan,John Wick,Avengers,Service A,Closed,High,High,High,High,02/01/2025 02:15:20,02/01/2025 06:33:04,03/01/2025 22:18:58,Thursday,03/01/2025 22:18:58
CR-173,Network scanning tool triggered security alert.,Software,Thor,Jan,Avengers,Service C,Closed,Low,High,Low,High,02/01/2025 21:53:29,03/01/2025 01:03:37,04/01/2025 17:42:17,Thursday,04/01/2025 17:42:17
CR-174,Unauthorized access attempt detected: IP flagged as suspicious.,Failure,Michal,Thor,Matrix,Service C,Closed,Low,High,Low,Medium,02/01/2025 12:16:26,02/01/2025 20:12:29,03/01/2025 17:40:28,Thursday,03/01/2025 17:40:28
CR-175,Expired certificates detected: TLS handshake improper.,Data,Peter,John Wick,Avengers,Service A,Closed,High,Medium,High,Low,02/01/2025 09:38:17,02/01/2025 17:17:44,02/01/2025 20:15:03,Thursday,02/01/2025 20:15:03
CR-176,Keylogger activity detected on user's workstation.,Network,Jan,Hulk,Avengers,Service B,Closed,Low,High,Low,Medium,02/01/2025 03:35:27,02/01/2025 11:24:31,03/01/2025 22:08:27,Thursday,03/01/2025 22:08:27
CR-177,Social engineering attempt flagged: Fake support request identified.,Access,Peter,Peter,Avengers II,Service B,Closed,Low,Low,High,Low,02/01/2025 15:05:45,02/01/2025 17:29:21,04/01/2025 07:21:08,Thursday,04/01/2025 07:21:08
CR-178,Failed packet inspection: Firewall rules misconfigured.,Facilities,Iron Man,Michal,Matrix,Service A,Closed,Low,High,High,Medium,02/01/2025 01:27:40,02/01/2025 08:21:50,03/01/2025 23:51:20,Thursday,03/01/2025 23:51:20
CR-179,Failed Workflow - ID: 0000,Hardware,Black Panther,Black Panther,Matrix,Service A,Closed,Low,Medium,High,Low,02/01/2025 15:50:13,02/01/2025 20:24:20,03/01/2025 22:35:43,Thursday,03/01/2025 22:35:43
CR-180,Cross-site scripting (XSS) detected on customer portal.,Hardware,Thor,Captain America,Matrix,Service B,Closed,Medium,Low,High,Medium,02/01/2025 06:53:41,02/01/2025 14:39:47,03/01/2025 08:19:32,Thursday,03/01/2025 08:19:32
CR-181,Failed Workflow - ID: 0000,Hardware,Peter,Peter,Avengers,Service A,Closed,High,Medium,High,High,02/01/2025 00:32:59,02/01/2025 09:01:11,03/01/2025 14:10:22,Thursday,03/01/2025 14:10:22
CR-182,Firewall breach: Unauthorized access through open port.,Complaint,John Wick,Captain America,Avengers II,Service A,Closed,Low,Medium,High,Low,02/01/2025 05:23:52,02/01/2025 13:29:48,03/01/2025 05:33:57,Thursday,03/01/2025 05:33:57
CR-183,ARP spoofing detected: Network traffic rerouted.,Hardware,John Wick,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,Low,02/01/2025 20:41:06,03/01/2025 01:51:45,03/01/2025 08:17:26,Thursday,03/01/2025 08:17:26
CR-184,Unusual system reboot detected on DevOps environment.,Complaint,Captain America,Peter,Matrix,Service B,Closed,High,Medium,High,High,02/01/2025 18:14:33,03/01/2025 01:18:55,03/01/2025 12:06:17,Thursday,03/01/2025 12:06:17
CR-185,Failed encryption process: Unable to secure sensitive data.,Data,Hulk,Peter,Avengers,Service B,Closed,Medium,High,Medium,Low,02/01/2025 21:48:44,03/01/2025 01:34:38,03/01/2025 09:35:46,Thursday,03/01/2025 09:35:46
CR-186,Unencrypted sensitive file shared externally.,Data,Iron Man,Thor,Avengers II,Service C,Closed,High,Low,High,Medium,02/01/2025 19:39:40,03/01/2025 00:26:59,04/01/2025 20:12:21,Thursday,04/01/2025 20:12:21
CR-187,Unauthorized access attempt detected: IP flagged as suspicious.,Facilities,Martin,Iron Man,Avengers II,Service B,Closed,Medium,High,Low,Low,02/01/2025 10:12:51,02/01/2025 15:17:33,03/01/2025 17:35:25,Thursday,03/01/2025 17:35:25
CR-188,Endpoint offline: Device not syncing with central server.,Complaint,Thor,Martin,Avengers II,Service A,Closed,Medium,Medium,Low,Low,02/01/2025 07:25:15,02/01/2025 13:45:14,03/01/2025 07:45:41,Thursday,03/01/2025 07:45:41
CR-189,Security patch applied: Monitoring for any issues.,Software,John Wick,Michal,Avengers,Service C,Closed,Low,Medium,Low,High,02/01/2025 21:21:02,03/01/2025 02:43:57,04/01/2025 08:56:14,Thursday,04/01/2025 08:56:14
CR-190,User permission escalation detected on cloud platform.,Facilities,Jan,Iron Man,Avengers II,Service A,Closed,High,High,High,Medium,02/01/2025 16:49:47,02/01/2025 22:15:27,04/01/2025 01:56:47,Thursday,04/01/2025 01:56:47
CR-191,Malicious macro executed within Office file.,Access,Martin,Michal,Matrix,Service C,Closed,Low,High,Medium,High,02/01/2025 20:26:17,02/01/2025 23:35:56,03/01/2025 08:25:24,Thursday,03/01/2025 08:25:24
CR-192,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Network,Peter,Hulk,Avengers II,Service B,Closed,High,Low,High,Low,02/01/2025 01:57:15,02/01/2025 09:54:02,04/01/2025 00:45:25,Thursday,04/01/2025 00:45:25
CR-193,Failed Workflow - ID: 0000,Network,Hulk,John Wick,Avengers,Service A,In Progress,Medium,Low,Medium,High,03/01/2025 21:58:43,04/01/2025 01:51:30,,Friday,
CR-194,Privileged account login attempt: Microsoft Admin flagged.,Complaint,Peter,Captain America,Avengers II,Service B,Closed,Low,High,Medium,Low,03/01/2025 09:13:44,03/01/2025 12:15:50,04/01/2025 21:11:31,Friday,04/01/2025 21:11:31
CR-195,Backup failure: Unable to restore files from recovery system.,Data,Thor,Black Panther,Avengers,Service C,Closed,High,Low,Medium,Medium,03/01/2025 18:15:18,03/01/2025 23:21:15,05/01/2025 12:07:35,Friday,05/01/2025 12:07:35
CR-196,VPN connection failure: Unable to securely tunnel data.,Complaint,Iron Man,Captain America,Avengers II,Service A,Closed,Medium,Medium,High,Low,03/01/2025 10:17:59,03/01/2025 18:47:35,04/01/2025 08:46:34,Friday,04/01/2025 08:46:34
CR-197,Unauthorized user session hijacked on browser.,Data,Michal,Black Panther,Avengers,Service A,Closed,Medium,Medium,Medium,High,03/01/2025 00:07:22,03/01/2025 04:26:52,04/01/2025 09:38:25,Friday,04/01/2025 09:38:25
CR-198,Suspicious activity detected on account: User A.,Data,Captain America,John Wick,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,03/01/2025 20:19:25,04/01/2025 04:53:57,04/01/2025 16:33:26,Friday,04/01/2025 16:33:26
CR-199,Login attempt from blacklisted IP address blocked.,Failure,Martin,Iron Man,Avengers II,Service B,New,Low,High,Medium,High,03/01/2025 09:45:58,,,Friday,
CR-200,VPN connection failure: Unable to securely tunnel data.,Network,Black Panther,John Wick,Avengers II,Service B,Closed,Low,Medium,Medium,High,03/01/2025 15:18:34,04/01/2025 00:02:48,05/01/2025 19:47:30,Friday,05/01/2025 19:47:30
CR-201,Data download from personal device flagged for review.,Facilities,Jan,Martin,Avengers,Service A,Closed,High,Medium,Medium,Low,03/01/2025 07:00:37,03/01/2025 15:52:16,04/01/2025 13:12:04,Friday,04/01/2025 13:12:04
CR-202,Phishing email flagged: User report received for fake login attempt.,Complaint,Jan,Captain America,Avengers II,Service C,Closed,High,Medium,High,Medium,03/01/2025 06:30:59,03/01/2025 10:59:02,04/01/2025 09:34:22,Friday,04/01/2025 09:34:22
CR-203,Internal network inaccessible: Ping requests time out.,Data,Captain America,Jan,Matrix,Service A,In Progress,Low,Low,Medium,High,03/01/2025 19:46:14,04/01/2025 01:19:50,,Friday,
CR-204,Ransomware execution blocked by endpoint protection.,Software,Iron Man,Thor,Matrix,Service B,On Hold,Low,High,Medium,Low,03/01/2025 07:48:48,,,Friday,
CR-205,Power failure simulation triggered during red team activity.,Access,Iron Man,Captain America,Avengers II,Service C,Closed,High,Low,Medium,Medium,03/01/2025 18:04:31,04/01/2025 01:30:07,05/01/2025 02:56:13,Friday,05/01/2025 02:56:13
CR-206,User permission escalation detected on cloud platform.,Network,John Wick,John Wick,Matrix,Service A,Closed,Medium,Low,Medium,Low,03/01/2025 22:46:20,04/01/2025 01:05:30,04/01/2025 14:58:37,Friday,04/01/2025 14:58:37
